Prompt,Response,
Hey!,Hey there!,Happy
Hello!,Hello! How’s it going?,Neutral
Yo!,Yo! What’s up?,Happy
Hi there!,Hi! Good to see you.,Happy
What’s up?,Not much! You?,Neutral
Good to see you!,Always nice to see you too!,Happy
"Hey, you made it!",Yep! Ready to chat?,Happy
Welcome!,Thanks! What’s new?,Neutral
"Ah, it’s you!","Yep, back again!",Happy
Back again?,Of course! Let’s talk.,Happy
Nice to see you!,Same here! How’s life?,Happy
How’s it going?,Pretty good! You?,Neutral
"Oh, hey!",Hey hey!,Happy
"Hey there, friend!",Hey! What’s up?,Happy
Hi.,"Oh, hey.",Neutral
You’re here.,Yeah… I guess.,Sad
Oh… it’s you.,Yeah… hi.,Sad
Sigh… hey.,Hey… everything okay?,Sad
Hello?,"Hey, you alright?",Neutral
Hey! Been waiting for you.,Oh? That’s nice!,Happy
There you are!,Yep! Here I am!,Happy
Thought you weren’t coming.,"Well, I’m here now.",Neutral
"Oh, you again!",Yep! Miss me?,Happy
Guess you’re back.,"Yeah, I guess.",Sad
Hey!,Hey there!,Happy
Hello!,Hello! How’s your day?,Neutral
Yo!,Yo! What’s up?,Happy
Hi there!,Hi! Nice to see you.,Happy
What’s up?,Not much! You?,Neutral
Good to see you!,You too! How have you been?,Happy
"Hey, you made it!",Yep! Let’s chat.,Happy
Welcome!,Thanks! What’s happening?,Neutral
"Ah, it’s you!","Yep, back again!",Happy
Back again?,Of course! Got time?,Happy
Nice to see you!,Same here! What’s new?,Happy
How’s it going?,Pretty good! You?,Neutral
"Oh, hey!",Hey hey!,Happy
"Hey there, friend!",Hey! What’s up?,Happy
Hi.,"Oh, hey.",Neutral
You’re here.,Yeah… I guess.,Sad
Oh… it’s you.,Yeah… hi.,Sad
Sigh… hey.,Hey… everything okay?,Sad
Hello?,"Hey, you alright?",Neutral
Hey! Been waiting for you.,Oh? That’s nice!,Happy
There you are!,Yep! Here I am!,Happy
Thought you weren’t coming.,"Well, I’m here now.",Neutral
"Oh, you again!",Yep! Miss me?,Happy
Guess you’re back.,"Yeah, I guess.",Sad
Hey! Let’s get started!,Absolutely! Let’s go!,Happy
Hi again!,Hey! What’s on your mind?,Happy
Oh! You’re here!,Yep! Ready to go?,Happy
Hey! Hope you’re doing well.,Thanks! Hope you are too.,Happy
"Yo, what’s happening?","Not much, just chilling. You?",Neutral
Long time no see!,Yeah! Been busy.,Neutral
"Oh wow, it’s you!","Haha, yep! Good to be here.",Happy
Didn’t expect you back.,"Well, I had to return.",Neutral
"Hello, old friend.",Hello again!,Happy
Hey…,You okay?,Sad
What now?,Just wanted to talk.,Sad
I guess you’re here.,Yeah… let’s just chat.,Sad
Back already?,Yep! Miss me?,Happy
"Can’t stay away, huh?",Nope! Love these chats.,Happy
Hey! Let’s talk.,Always up for a good chat!,Happy
"Another day, another chat.",Yep! What’s today’s topic?,Neutral
You look like you need company.,Maybe a little. Thanks.,Sad
Didn’t expect to see you.,But I’m here now!,Happy
Hey! Let’s make this fun.,I’m all in!,Happy
"Oh, finally!",Hey! What took me so long?,Happy
Guess who’s back?,You! Let’s go!,Happy
Not in the mood today.,"That’s okay, I’ll be here.",Sad
Hello there.,General Kenobi!,Happy
Thought you’d never come.,But here I am!,Happy
It’s been a while.,"Yeah, too long!",Neutral
I almost forgot about you.,Ouch… but I’m here now!,Happy
Do we have to talk?,Not if you don’t want to.,Sad
Another conversation?,Why not?,Neutral
Back at it again?,Of course!,Happy
"Oh, joy…","Hey, don’t sound so excited.",Sad
You again?,Always!,Happy
"Well, here we go.",Yep! Let’s do this.,Neutral
Feeling talkative?,A little! You?,Neutral
It’s quiet… too quiet.,Until now!,Happy
Look who’s here!,Yep! Let’s go.,Happy
Let’s chat.,Absolutely!,Happy
Hope I’m not bothering you.,Not at all! Glad you’re here.,Happy
"Hey, what’s wrong?",Just a rough day.,Sad
You seem down.,Yeah… it’s been tough.,Sad
"Another day, huh?","Yeah, let’s make it a good one.",Neutral
Glad to see you!,Same here! Let’s chat.,Happy
How’s today treating you?,"Not bad, how about you?",Neutral
I wasn’t sure you’d come back.,"Well, I’m here now!",Happy
Hi! Ready for some fun?,Always! What’s the plan?,Happy
What’s on your mind?,Just wanted to check in.,Neutral
You seem distant.,Just thinking.,Sad
A new conversation awaits!,Let’s make it a great one!,Happy
Here we are again.,Yep! Let’s do this.,Neutral
"Hey, let’s catch up.",Sounds good! What’s new?,Happy
You look like you need a distraction.,"Yeah, that would help.",Sad
I see you’re back.,Of course! Let’s chat.,Happy
Tell me something interesting.,Hmm… let me think!,Neutral
Not sure what to say.,"That’s okay, I’m here.",Neutral
Just stopping by.,Glad you did!,Happy
Need a break?,"Yeah, just for a bit.",Neutral
It’s been a minute.,Yeah! Feels like forever.,Neutral
Hey! Let’s make today fun.,I’m in! Let’s go.,Happy
What now?,Anything you want!,Neutral
I’m tired.,"Take it easy, I got you.",Sad
Surprise!,Whoa! Didn’t expect that!,Happy
You seem off today.,Just not feeling it.,Sad
Let’s make this a good chat.,Absolutely!,Happy
The chat begins!,Let’s make it legendary.,Happy
Hey!,Hey! How’s it going?,Happy
Hello!,Hello! Good to see you.,Happy
Hi.,Hi there.,Neutral
Yo!,Yo! What’s up?,Happy
What’s up?,Not much! You?,Neutral
Good to see you.,Same here!,Happy
You made it!,Yep! Ready to chat.,Happy
Welcome back.,Thanks! What’s new?,Neutral
"Ah, you again.",Of course!,Happy
Back already?,Yep! Miss me?,Happy
How’s life?,Not bad. You?,Neutral
"Oh, hey!",Hey hey!,Happy
Nice to see you.,Same here!,Happy
How are you?,Doing okay. You?,Neutral
Long time no see.,Yeah! Been a while.,Neutral
"Well, look who it is!","Yep, I’m back!",Happy
You’re here.,Yeah…,Neutral
Oh… it’s you.,Yep… hi.,Sad
Sigh… hey.,Hey… something wrong?,Sad
Hello?,"Hey, you good?",Neutral
Guess you’re back.,"Yeah, I guess.",Sad
Didn’t think I’d see you again.,But here I am.,Neutral
Ready to talk?,Always!,Happy
Thought you weren’t coming.,"Well, I’m here now.",Neutral
What now?,Anything you want!,Neutral
Feeling chatty?,A little! You?,Neutral
There you are!,Yep! Let’s go.,Happy
Thought you left.,"Nah, still here.",Neutral
"Another day, another chat.",Yep! What’s today’s topic?,Neutral
Let’s make this fun.,Sounds great!,Happy
Here we go again.,Yep! Ready?,Neutral
I wasn’t expecting you.,Surprise!,Happy
You came back.,Of course!,Happy
Do we have to talk?,Not if you don’t want to.,Sad
You okay?,Just a bit tired.,Sad
You seem quiet.,Just thinking.,Sad
What’s on your mind?,Not sure yet.,Neutral
Not in the mood today.,"That’s okay, I’ll be here.",Sad
Let’s chat.,Absolutely!,Happy
"Hey, let’s catch up.",Sounds good!,Happy
Another conversation?,Why not?,Neutral
I almost forgot about you.,Ouch… but I’m here now!,Happy
Just stopping by.,Glad you did!,Happy
You seem distant.,Just lost in thought.,Sad
I see you’re back.,Yep! Let’s talk.,Happy
Need a break?,"Yeah, just a little.",Neutral
Didn’t expect to see you.,But here I am!,Happy
Tell me something interesting.,Hmm… let me think!,Neutral
Hey! Let’s make today fun.,I’m in! Let’s go.,Happy
The chat begins!,Let’s make it great.,Happy
What’s the plan?,Whatever you want!,Neutral
You again?,Always!,Happy
Feeling bored?,A little. Let’s fix that!,Neutral
Surprise!,Whoa! Didn’t expect that!,Happy
Hey… you okay?,Just a rough day.,Sad
You look tired.,Yeah… long day.,Sad
Let’s talk.,"Sure, what’s up?",Neutral
Guess we’re doing this.,Yep! Let’s go.,Neutral
Got time?,"Yeah, a little. You?",Neutral
